Kennesaw St.,Owls,Air,34.0234337,-84.6154897,FDBB30,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160937.svg
Kent St.,Golden Flashes,Object,41.1513108,-81.3578047,002664,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21270.svg
Kentucky,Wildcats,Land,38.0464066,-84.4970393,0033A0,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21357.svg
La Salle,Explorers,Person,39.9527237,-75.1635262,003366,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21142.svg
Lafayette,Leopards,Land,40.6916081,-75.2099866,98002E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21349.svg
Lamar,Cardinals,Air,30.0860459,-94.1018461,DC0032,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21376.svg
Le Moyne,Dolphins,Water,43.0481221,-76.1474244,00452A,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160942.svg
Lehigh,Mountain Hawks,Air,40.6178915,-75.3786521,F58220,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21350.svg
Liberty,Flames,Object,37.4137536,-79.1422464,002D62,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21184.svg
Lindenwood,Lions,Land,38.783855,-90.481677,B5A36A,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/161158.svg
Lipscomb,Bisons,Land,36.1622767,-86.7742984,331E54,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/161302.svg
Little Rock,Trojans,Person,34.7465071,-92.2896267,6E2639,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21397.svg
LIU Brooklyn,Sharks,Water,40.6526006,-73.9497211,69B3E7,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21316.svg
Long Beach St.,Beach,Water,33.7690164,-118.191604,FFC72A,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21218.svg
Longwood,Lancers,Person,37.3024713,-78.3923813,15213B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160946.svg
Louisiana Lafayette,Ragin' Cajuns,Person,30.2262187,-92.0178202,CE181E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21402.svg
Louisiana Monroe,Warhawks,Air,32.5102427,-92.1032411,840029,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21378.svg
Louisiana Tech,Bulldogs,Land,32.5297498,-92.6386604,E31B23,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21400.svg
Louisville,Cardinals,Air,38.2542376,-85.759407,AD0000,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21238.svg
Loyola Chicago,Ramblers,Person,41.8755616,-87.6244212,922247,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21300.svg
Loyola Marymount,Lions,Land,34.0536909,-118.242766,B62B3A,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21416.svg
Loyola MD,Greyhounds,Land,39.2908816,-76.610759,00694E,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21257.svg
LSU,Tigers,Land,30.4494155,-91.1869659,461D7C,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21358.svg
Maine,Black Bears,Land,44.8016255,-68.7713289,003263,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21155.svg
Manhattan,Jaspers,Person,40.90056,-73.90639,00703C,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21258.svg
Marist,Red Foxes,Land,41.7065539,-73.9283672,C8102E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21259.svg
Marquette,Golden Eagles,Air,43.0349931,-87.922497,003366,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21239.svg
Marshall,Thundering Herd,Land,38.4192496,-82.445154,00B140,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21272.svg
Maryland,Terrapins,Land,38.980666,-76.9369189,E03A3E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21133.svg
Maryland Eastern Shore,Hawks,Air,38.2028428,-75.6920008,862633,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21292.svg
Massachusetts,Minutemen,Person,42.3731948,-72.5198761,971B2F,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21143.svg
McNeese St.,Cowboys,Person,30.2305095,-93.2169807,00529B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21377.svg
Memphis,Tigers,Land,35.1460249,-90.0517638,003087,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21240.svg
Mercer,Bears,Land,32.8406946,-83.6324022,F76800,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21411.svg
Merrimack,Warriors,Person,42.6839894,-71.1127065,003768,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/3148697.svg
Miami FL,Hurricanes,Weather,25.7331105,-80.2585107,005030,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21163.svg
Miami OH,Redhawks,Air,39.5103048,-84.7420519,B61E2E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21271.svg
Michigan,Wolverines,Land,42.2813722,-83.7484616,00274C,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21193.svg
Michigan St.,Spartans,Person,42.7320307,-84.4721678,18453B,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21194.svg
Middle Tennessee,Blue Raiders,Person,35.8460396,-86.3921096,0066CC,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21328.svg
Milwaukee,Panthers,Land,43.0349931,-87.922497,FFBD00,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21302.svg
Minnesota,Golden Gophers,Land,44.9772995,-93.2654692,7A0019,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21195.svg
Mississippi,Rebels,Person,34.3663773,-89.5187664,14213D,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21359.svg
Mississippi St.,Bulldogs,Land,33.4638745,-88.8152074,660000,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21360.svg
Mississippi Valley St.,Delta Devils,Person,33.4951269,-90.3229458,00703C,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21393.svg
Missouri,Tigers,Land,38.951883,-92.3337366,F1B82D,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21206.svg
Missouri St.,Bears,Land,37.2081729,-93.2922715,5E0009,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21312.svg
Monmouth,Hawks,Air,40.2903891,-74.0176381,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21317.svg
Montana,Grizzlies,Land,46.8701049,-113.995267,660033,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21175.svg
Montana St.,Bobcats,Land,45.6794293,-111.044047,00205B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21176.svg
Morehead St.,Eagles,Air,38.1839705,-83.4326841,005EB8,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21329.svg
Morgan St.,Bears,Land,39.2908816,-76.610759,F47937,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21291.svg
Mount St. Mary's,Knights,Person,39.7045417,-77.3269307,0067B2,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21318.svg
Murray St.,Racers,Person,36.6103334,-88.314761,002144,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21330.svg
Navy,Midshipmen,Person,38.9786401,-76.492786,00205B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21351.svg
Nebraska,Cornhuskers,Person,40.8088861,-96.7077751,E41C38,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21207.svg
Nebraska Omaha,Mavericks,Land,41.2587459,-95.9383758,D71920,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160981.svg
Nevada,Wolfpack,Land,39.5261206,-119.8126581,003366,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21219.svg
New Hampshire,Wildcats,Land,43.134564,-70.927048,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21156.svg
New Mexico,Lobos,Land,35.0841034,-106.650985,BA0C2F,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21429.svg
New Mexico St.,Aggies,Person,32.3140354,-106.779807,861F41,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21220.svg
New Orleans,Privateers,Person,29.9759983,-90.0782127,005CA6,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21466.svg
Niagara,Purple Eagles,Air,43.08436,-79.0614686,582C83,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21260.svg
Nicholls St.,Colonels,Person,29.7957633,-90.822871,AE132A,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21379.svg
NJIT,Highlanders,Person,40.735657,-74.1723667,D22630,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160989.svg
Norfolk St.,Spartans,Person,36.8448348,-76.2863999,007A53,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21294.svg
