Hofstra,Pride,Humans,#f6ba37,CAA,New York
High Point,Panthers,Land Animals,#243a94,BSth,North Carolina
Hawaii,Warriors,Humans,#004631,BW,Hawaii
Harvard,Crimson,Colors/Elements,#A41034,Ivy,Massachusetts
Hartford,Hawks,Birds,#ec1a2c,AE,Connecticut
Hampton,Pirates,Humans,#0061aa,CAA,Virginia
Green Bay,Phoenix,Mythical Creatures,#006a4d,Horz,Wisconsin
Grand Canyon,Antelopes,Land Animals,#4e0c76,WAC,Arizona
Grambling State,Tigers,Land Animals,#be9a02,SWAC,Louisiana
Gonzaga,Bulldogs,Land Animals,#003366,WCC,Washington
Georgia Tech,Yellow Jackets,Insects,#b09465,ACC,Georgia
Georgia State,Panthers,Land Animals,#005dab,SB,Georgia
Georgia Southern,Eagles,Birds,#000066,SB,Georgia
Georgia,Bulldogs,Land Animals,#CC0000,SEC,Georgia
Georgetown,Hoyas,Land Animals,#00275d,BE,District of Columbia
George Washington,Colonials,Humans,#002147,A10,District of Columbia
George Mason,Patriots,Humans,#f2aa00,A10,Virginia
Gardner-Webb,Runnin' Bulldogs,Land Animals,#c41230,BSth,North Carolina
Furman,Paladins,Land Animals,#34327c,SC,South Carolina
Fresno State,Bulldogs,Land Animals,#d6083b,MWC,California
Fordham,Rams,Land Animals,#a90332,A10,New York
Florida State,Seminoles,Humans,#540115,ACC,Florida
Florida International,Golden Panthers,Land Animals,#c79d1f,CUSA,Florida
Florida Gulf Coast,Eagles,Birds,#00287A,ASun,Florida
Florida Atlantic,Owls,Birds,#002D62,Amer,Florida
Florida A&M,Rattlers,Reptiles/Amphibians,#006b25,SWAC,Florida
Florida,Gators,Reptiles/Amphibians,#003488,SEC,Florida
Fairleigh Dickinson,Knights,Humans,#003479,NEC,New Jersey
Fairfield,Stags,Land Animals,#e93337,MAAC,Connecticut
Evansville,Aces,Humans,#532380,MVC,Indiana
Elon,Phoenix,Mythical Creatures,#98002e,CAA,North Carolina
Eastern Washington,Eagles,Birds,#a10022,BSky,Washington
Eastern Michigan,Eagles,Birds,#007c4e,MAC,Michigan
